 /*
 /*          2000  particles ejected randomly from planet #            5
 /*      at velocity    4.00000000000000       km/sec
 /*      using random number seed =           -1
 /*
 /*          a, AU                 e              i ,degrees
 /*
  1.2089581    0.4723709    8.30125    
  1.7197269    0.5616017    28.81722    
  1.4765515    0.4084987    7.16075    
  1.8497080    0.6918416    17.75271    
  2.5835983    0.8349808    20.80095    
  1.1843054    0.5802281    36.82553    
  2.2892070    0.4588429    7.18376    
  1.1051861    0.4022060    1.41556    
  1.5573700    0.4915094    15.90004    
  1.0585223    0.4504996    16.17413    
  2.3106125    0.6469908    22.94398    
  1.0965729    0.4546663    19.28902    
  1.6186516    0.4905880    4.09793    
  1.4835666    0.3166716    15.52885    
  1.5056502    0.6799533    9.81571    
  1.7046782    0.3226519    5.63452    
  1.5168798    0.6636930    10.32760    
  1.2613894    0.3484891    30.38408    
  1.2747786    0.8723575    28.67512    
  2.0345014    0.4087867    6.61543    
  2.1192222    0.7388939    4.20576    
  1.5690906    0.4825395    2.08216    
  2.1074652    0.4667202    9.23921    
  1.4775024    0.2416774    18.52015    
  1.5268253    0.2140651    41.96986    
  2.3804556    0.5727751    7.58954    
  1.4112633    0.2527285    37.74709    
  2.3363717    0.7987954    56.14814    
  1.8095029    0.2828493    6.13551    
  2.3493496    0.4824499    4.06398    
  2.4346868    0.6169743    9.69147    
  2.1038874    0.4446140    47.51468    
  1.6544736    0.2888188    12.85285    
  1.6302615    0.2299828    29.44075    
  2.2133044    0.4346119    25.72729    
  1.6743337    0.3515669    58.88386    
  2.1117676    0.4625053    40.01044    
  1.7031397    0.3243806    16.23756    
  1.8503906    0.5958206    6.04862    
  1.8042574    0.6879782    24.71921    
  1.6961851    0.7164628    16.79270    
  2.1546422    0.4650605    9.74840    
  2.2628772    0.5935224    23.14231    
  2.5226854    0.5246228    7.52440    
  1.6545008    0.4194121    27.74894    
  1.8864892    0.4074421    54.44256    
  1.1231173    0.2140099    26.05986    
  2.2870935    0.4787915    25.27375    
  2.1471260    0.4055099    8.22428    
  2.3155066    0.5124720    7.37231    
  1.6785172    0.4624260    1.09229    
  0.8907695    0.6646814    7.21986    
  2.8289761    0.5982030    4.55655    
  0.9931742    0.2839990    23.75189    
  1.5868942    0.2765749    17.23161    
  1.8017717    0.6604417    5.28165    
  2.3662209    0.5542107    4.85322    
  1.2142368    0.6663943    13.01206    
  0.8966511    0.3581613    16.20574    
